OrganismRowID,OrganismCodeMaster,CommonNameMaster,OrganismCodeSTN,FieldNameSTN,OrganismCodeMWT,FieldNameMWT,OrganismSymbol,Active,CommonName,Phylum,Class,Order,Family,Genus,Species
88,7128,Mississippi silverside,53,MISSIL,12,INLSLVER,MSS,TRUE,Mississippi Silverside,Chordata,NA,NA,Atherinopsidae,Menidia,audens
89,2775,monkeyface prickleback,,,,,,TRUE,,,,,,,
90,2678,mussel blenny,,,,,,TRUE,,,,,,,
91,1205,night smelt,111,,26,NGHTSMLT,,TRUE,Night Smelt,Chordata,NA,NA,Osmeridae,Spirinchus,starski
92,1514,northern anchovy,14,NANCHOVY,13,NANCHOVY,NA,TRUE,Northern Anchovy,Chordata,NA,NA,Engraulidae,Engraulis,mordax
93,1802,northern clingfish,,,,,,TRUE,,,,,,,
94,1403,northern lampfish,,,,,,TRUE,,,,,,,
95,2753,onespot fringehead,,,,,,TRUE,,,,,,,
96,1521,Pacific argentine,,,,,,TRUE,,,,,,,
97,2720,Pacific barracuda,,,,,,TRUE,,,,,,,
98,1635,Pacific blacksmelt,,,,,,TRUE,,,,,,,
99,2209,Pacific chub mackeral,,,,,,TRUE,,,,,,,
100,218,Pacific electric ray,124,,91,PACELRAY,,TRUE,Pacific Electric Ray,Chordata,NA,NA,Torpedinidae,Torpedo,californica
101,1303,Pacific hake,,,,,,TRUE,,,,,,,
102,3105,Pacific halibut,140,,79,PHALIBUT,,TRUE,Pacific Halibut,Chordata,NA,NA,Bothidae,Hippoglossus,stenolepis
103,1002,Pacific herring,52,PHERRING,16,PHERRING,PH,TRUE,Pacific Herring,Chordata,NA,NA,Clupeidae,Clupea,pallasi
104,21,Pacific lamprey,61,PACLAMP,10,PLAMPREY,PL,TRUE,Pacific Lamprey,Chordata,NA,NA,Petromyzontidae,Lampetra,tridentata
105,2712,Pacific pompano,102,,15,PBUTTER,,TRUE,Pacific Butterfish,Chordata,NA,NA,Stromateidae,Peprilus,simillimus
106,2675,Pacific sand lance,,,,,,TRUE,,,,,,,
